の	27604139
、	26094178
に	21009884
#	20375590
。	18582471
は	16283432
た	14120990
を	14090745
て	12088427
で	11900972
が	11624409
と	11476804
し	9947929
年	6807972
)	5611762
(	5177997
れ	4976598
さ	4656205
ある	3636673
も	3469311
いる	3380595
する	3371157
「	3124002
」	3112106
月	2986537
から	2746533
こと	2191130
日	2190431
な	1896827
い	1787079
や	1577917
その	1407835
なっ	1405072
『	1393119
れる	1373095
』	1364904
など	1321993
的	1209554
この	1208790
ない	1149527
日本	1125559
ため	1120096
後	1109788
者	998117
より	985036
第	961002
人	943174
いう	929429
あっ	908245
また	885855
もの	831510
へ	811109
よう	797782
まで	796732
市	784780
られ	781044
あり	767209
なる	747376
a	703821
s	666922
県	665150
中	662563
これ	629661
c	556568
だ	555276
大学	550870
よる	520935
おり	518270
m	516524
一	511382
か	508456
よっ	489611
部	487403
i	487144
国	485626
つ	474312
"	462335
ら	454200
家	449769
時	444246
b	435116
現在	434659
学校	426007
駅	424591
n	424356
-	420091
化	393935
放送	392849
ず	383058
なり	381027
それ	374209
だっ	372377
線	368708
回	365679
時代	364647
なかっ	363107
アメリカ	362899
大	362620
t	361127
おい	360803
性	357859
会	357236
上	357148
d	354420
世界	354112
なく	354079
間	353556
f	350507
つい	348006
所	346580
られる	338399
他	336797
戦	336557
東京	335999
せ	335519
町	333535
場合	333120
行わ	332383
軍	330912
:	323796
しかし	321793
名	319428
-#	316932
目	313966
e	312335
r	308711
車	305421
多く	303327
p	303234
内	303211
州	302328
できる	301523
二	301235
号	300716
ば	297553
作品	296905
機	295732
選手	295544
学	295054
彼	294319
昭和	293257
位	292242
使用	291864
前	281727
語	281286
研究	279755
地	279391
数	274446
長	269647
受け	266245
会社	265341
h	264584
当時	260816
o	260544
存在	260141
映画	259699
.	259577
活動	258336
g	254703
等	250115
本	247764
郡	244961
テレビ	243278
初	242814
,	242355
k	241845
区	240359
番組	239632
可能	236650
呼ば	235165
および	232322
とも	231976
対し	229878
型	228939
次	227718
出身	227330
万	226063
約	222328
元	221708
以下	221393
でき	220911
形	218710
代表	217667
のみ	217451
行っ	216542
三	216017
度	215819
発売	215603
開発	214713
同年	214436
地域	213987
なお	213318
系	212880
権	210536
る	206465
l	205080
館	203226
u	203126
!	202470
用	200055
新	199693
たち	199269
社	199225
分	198773
法	198394
中心	197651
おけ	197140
年代	196427
歳	195500
鉄道	195421
党	194976
j	194853
式	194732
平成	194517
時間	193074
発表	193013
v	192939
き	192357
以降	192261
チーム	191847
#-#	190556
さらに	190173
出場	189643
試合	188770
一部	188590
川	188550
院	188432
局	187983
際	185011
関係	184898
下	184447
-)	184106
/	183887
大会	182935
w	182610
開始	182425
版	182028
同	181743
小	180998
登場	179455
記録	179259
いっ	178986
フランス	178015
参加	177885
見	177859
一般	177635
曲	176613
ドイツ	176569
ゲーム	174386
=	173740
世	173131
賞	172981
場	172969
所属	172727
点	172039
明治	171329
利用	170901
開催	170747
%	170463
だけ	170355
全	169048
以上	168761
多い	167924
リーグ	167899
音楽	167067
シリーズ	165759
シーズン	165333
事	165217
考え	164447
にて	164221
国際	164078
監督	163417
村	163307
体	163286
代	161770
生	160703
期	159590
用い	159421
位置	159239
必要	158284
力	158094
イギリス	156939
社会	156818
同じ	156743
問題	155921
世紀	155146
島	154490
氏	154221
ながら	154051
務め	153100
東	152784
優勝	152731
都市	152337
お	152264
中国	151791
知ら	151350
子	150708
行う	150674
かけ	150481
出演	150335
せる	149740
事業	149564
共	149297
なら	148550
地方	147969
設置	147345
級	145752
卒業	145659
物	145282
委員	145042
側	144676
戦争	144503
持つ	144481
ほか	143838
計画	143722
たり	142972
x	142804
うち	141179
隊	140861
教育	140523
結果	140152
変更	139956
大阪	139620
アルバム	138621
中央	137924
文化	137305
影響	137056
バス	135870
一方	134734
通り	134686
政府	134234
そして	133637
方	132286
獲得	132160
特に	131001
建設	130619
旧	130063
省	129920
自身	129673
番	129591
いく	129539
担当	129483
役	129445
西	129274
王	129115
とき	128959
官	128412
最初	127593
設立	126953
不	126376
山	126008
当初	126001
機関	125817
科	125808
及び	125762
ん	125236
事件	125182
各	124843
経済	124727
高	124477
選挙	124277
主義	124277
意味	124208
女性	123915
年間	123897
情報	123805
部分	123396
同様	123103
生まれ	122801
道	121848
自動	121784
得	121595
合衆	120491
教授	120208
派	120111
販売	119703
それぞれ	119209
政治	119163
北	118838
南	117816
以外	117499
地区	116973
調査	116735
攻撃	116601
デビュー	116508
員	115817
高等	115182
現	114983
円	114895
グループ	114779
構成	114298
城	114074
立	113791
プロ	113466
かつて	113414
都	113040
手	112443
寺	112270
技術	112206
航空	111753
艦	111669
発生	111049
両	110891
自分	110759
金	110117
就任	109688
ほど	109369
経	109239
km	108958
契約	108562
歴史	108297
決定	107758
場所	107691
状態	107656
システム	107571
路線	107526
まま	106949
株式	106583
採用	106380
制作	106025
施設	105776
父	105555
向け	105474
人口	105472
種	105028
再	104762
関する	104675
最も	104660
対する	104118
終了	104067
最終	103874
製造	103607
公開	103318
共和	102949
台	102639
ただし	102042
最後	101779
府	101777
店	101416
収録	101350
ところ	101020
組織	100687
高校	100346
シングル	99913
目的	99740
始め	99209
話	99054
与え	99053
生産	98874
ロシア	98776
全国	98483
帝国	97908
車両	97839
枚	97721
何	97715
公	97360
野球	97135
議員	96967
海軍	96671
使わ	96654
全て	96464
列車	96386
初めて	96188
モデル	96171
大きな	95975
企業	95651
受賞	95203
メンバー	95188
年度	95171
高い	94928
率	94503
管理	94498
道路	94195
別	94142
部隊	94135
面	94105
名称	93929
京都	93845
機能	93843
センター	93824
頃	93606
勝利	92897
運動	92875
最大	92593
実施	92545
主に	92505
cm	92417
生活	91994
そこ	91599
移籍	91503
製作	91374
人物	91222
独立	90997
|	90799
時期	89905
活躍	89709
続け	89569
自由	88695
ほとんど	88674
例	88537
総	88346
重要	88263
対応	88148
四	88081
同時	87831
通常	87814
構造	87768
サッカー	87698
最高	87578
戦い	87516
成功	86942
発見	86629
含む	86487
書	86375
ホーム	86371
イタリア	85992
江戸	85844
")	85575
クラブ	85362
エンジン	85300
持っ	84592
基本	84440
入り	84396
こう	84269
〜	84185
協会	84179
戦闘	83782
作	83772
以前	83555
出	83477
'	83159
量	82738
加え	82554
実際	82476
キャラクター	82376
名前	82285
設定	82274
搭載	81916
設計	81758
品	81571
規模	81527
船	81258
内容	81232
アニメ	81188
指定	81137
公式	81049
特別	80941
科学	80854
決勝	80610
女子	80609
作曲	80549
ここ	80493
編成	80344
様々	80308
評価	80275
団	80238
出版	79981
交通	79867
人間	79843
漫画	79655
海	79457
初期	79319
専門	79085
記念	79060
教会	78942
リリース	78617
ドラマ	78588
非	78500
飛行	78261
指揮	78213
特徴	78089
運営	78074
水	77956
連合	77935
異なる	77880
再び	77784
予定	77651
運行	77483
指導	77477
期間	77441
藩	77380
彼女	77031
国家	76997
挙げ	76892
ヨーロッパ	76451
対象	76448
時点	76338
大きく	76169
結婚	76092
経営	75925
勝	75884
連続	75724
バンド	75722
運転	75598
士	75567
団体	75563
新た	75439
多数	75438
表記	75409
英語	75250
認め	75043
事務	74992
提供	74984
廃止	74795
導入	74781
すべて	74716
&	74665
理由	74509
完全	74327
本作	74096
労働	74094
タイトル	74083
あるいは	74037
翌	73993
小説	73898
とっ	73810
新聞	73569
ローマ	73468
しまう	73277
議会	73237
果たし	73215
入っ	73183
程度	73135
参照	73120
人気	72870
死去	72772
神	72617
文字	72611
群	72457
大戦	72326
公園	71464
デザイン	71381
サービス	71374
国内	71196
最	71164
展開	71160
陸軍	71130
制	70846
全体	70752
y	70417
周辺	70335
警察	70207
五	70186
方法	69931
橋	69916
ラジオ	69839
天皇	69535
環境	69246
支援	69244
総合	69211
類	69060
競技	69047
以来	68980
連邦	68980
北海道	68943
形式	68938
業	68827
自治	68781
のち	68522
文学	68493
洋	68366
関連	68323
無	68235
結成	68149
舞台	68119
述べ	68108
完成	68104
大統領	67867
裁判	67807
丁目	67539
_	67445
レース	67248
会議	67128
教	67093
非常	67054
宇宙	67006
支配	66865
室	66864
色	66534
自ら	66526
たい	66498
引退	66464
大正	66336
由来	66290
含ま	66270
いずれ	66260
スポーツ	66255
言わ	66052
説	66042
民主	66026
ほぼ	66020
主張	65812
国民	65768
("	65717
共同	65575
行い	65483
馬	65401
対戦	65349
娘	65208
番号	65156
しか	64998
達	64923
変化	64889
石	64823
建築	64681
歌	64679
自然	64352
カード	64330
アジア	64330
z	64195
十	64171
比較	63990
距離	63858
副	63729
スペイン	63557
整備	63539
候補	63446
法人	63413
よく	63332
カップ	63307
組	63302
神社	63150
オリンピック	63113
~	63053
撮影	62913
演奏	62800
形成	62759
作戦	62571
移動	62456
べき	62398
制度	62259
輸送	62176
個	61742
営業	61740
工業	61678
韓国	61568
主	61556
ニューヨーク	61488
製	61368
企画	61368
登録	61347
表現	61286
状況	61225
億	61203
圏	61156
朝	61136
ー	61066
銀行	61039
子供	61033
男	61007
発展	60963
街	60934
行政	60837
能力	60692
伴い	60392
データ	60359
試験	60346
ドル	60318
条	60246
巻	59871
先	59861
発行	59718
産業	59715
複数	59660
表示	59369
電気	59248
しまっ	58976
広島	58829
続い	58826
以後	58734
mm	58667
マン	58646
新しい	58611
主要	58524
選出	58417
方面	58297
言語	58288
どう	58274
美術	58216
合併	57988
論	57754
分類	57705
一人	57635
経験	57560
種類	57549
なけれ	57495
人々	57470
妻	57276
区間	57263
装置	57181
空港	57110
工場	57039
史	56962
運用	56932
基	56851
報告	56776
相手	56768
大臣	56754
付近	56739
掲載	56733
姿	56723
成立	56693
イベント	56626
物語	56615
ライブ	56613
行動	56600
名古屋	56359
通信	56355
有名	56325
そう	55953
写真	55948
ワールド	55881
はじめ	55861
男性	55768
み	55711
近く	55704
高速	55673
動物	55662
付け	55651
地下	55612
会長	55574
族	55475
さん	55425
強い	55419
界	55000
トップ	54932
スーパー	54926
支持	54896
個人	54864
南部	54822
ぶり	54794
条件	54758
方式	54746
批判	54645
部門	54642
反対	54623
